Agile frog,3
California red-legged frog,8
Cascades frog
Central Asiatic frog
Chaochiao frog
Chevron-spotted brown frog
Columbia spotted frog,5
Common frog,10
Dybowski's frog
Foothill yellow-legged frog,6
Greek stream frog
Rana hanluica
Hokkaidō frog
Rana holtzi
Huanren frog
Iberian frog
Italian agile frog,4
Italian stream frog
Japanese brown frog,7
Johns' groove-toed frog
Korean brown frog
Leopard frog,9
Long-legged wood frog
Rana longicrus
Rana luteiventris
Montane brown frog
Moor frog
Mountain yellow-legged frog,6
Rana muscosa
Northern red-legged frog,5
Rana omeimontis
Oregon spotted frog
Plateau brown frog
Pyrenean frog
Rana amurensis
Rana basaltica
Rana berlandieri
Rana chensinensis
Rana magnaocularis
Rana pipiens
Rana pseudodalmatina
Rana sangzhiensis
Ryukyu brown frog
Rana sauteri
Sichuan frog
Rana-de Arbol De Sierra De Juárez
Rana-ladrona De Sierra De Juárez
Sierra Nevada yellow-legged frog,8
Rana sierrae
Stream brown frog
Tago's brown frog
Rana tavasensis
Tsushima brown frog
Rana ulma
Rana zhengi
Zhenhai brown frog
